iteration,period_days
1,0.9971315952336525
2,0.9971315952710882
3,0.9971315952844231
4,0.9974231076913025
5,0.9971315952961913
6,0.9974231077821969
7,0.9971315951719123
8,0.9971315952447154
9,0.9971315952600869
10,0.9974231076822725
11,0.9971315952834087
12,0.9974231076530566
13,0.9971315952720987
14,0.997131595262617
15,0.9971315951734944
16,0.9971315951487468
17,0.9971315952809097
18,0.9971315952773626
19,0.9971315952788473
20,0.9971315952260961
21,0.9971315952718084
22,0.9971315952729078
23,0.9971315952657916
24,0.9971315952669083
25,0.997131595280033
26,0.9974231076673626
27,0.997131595260303
28,0.9971315952815678
29,0.9971315953091396
30,0.9971315952691633
31,0.997131595264009
32,0.9971315952790024
33,0.9971315952736322
34,0.9971315952799533
35,0.997131595278311
36,0.9971315952782971
37,0.997423107645233
38,0.9971315952122323
39,0.9971315952554262
40,0.9971315952963042
41,0.9971315952813029
42,0.9971315952562547
43,0.9971315951825654
44,0.9971315951843016
45,0.9971315953070686
46,0.99713159526621
47,0.9971315952654042
48,0.9971315952670311
49,0.9974231076624868
50,0.9974231076310103
51,0.9971315952925572
52,0.9971315951830454
53,0.9971315952752204
54,0.9971315952604672
55,0.9971315952309562
56,0.9971315952599441
57,0.9971315952837082
58,0.997131595257006
59,0.9971315952635978
60,0.9971315952806729
61,0.99742310766012
62,0.9971315952779847
63,0.9971315952907943
64,0.9971315951916412
65,0.9971315952349722
66,0.997131595269022
67,0.9971315952712182
68,0.9971315952815059
69,0.9971315952248014
70,0.99713159525857
71,0.9974231076216868
72,0.9971315952824028
73,0.9971315952342179
74,0.997131595232047
75,0.9971315952805042
76,0.9971315952737311
77,0.9971315953559545
78,0.9974231076556915
79,0.9971315952703885
80,0.9974231075777062
81,0.997131595283329
82,0.9971315951357003
83,0.9971315952677197
84,0.9971315952737377
85,0.9971315952339459
86,0.9971315952601297
87,0.9971315952616236
88,0.9971315952779092
89,0.9971315952860391
90,0.9971315952836343
91,0.9971315952908751
92,0.9971315950919628
93,0.9971315952686626
94,0.9971315952543373
95,0.9971315952634755
96,0.9971315952724179
97,0.9971315952801805
98,0.9971315951972475
99,0.9971315952549332
